Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-3,17939775335685E-08","-0,00264994119849839","0,024520116544489",0,0,0,"0,150185390114133","0,000168237215192189","-4,1193940307426E-11","4,55755042083359E-11","0,000154817201119742","3,91097259857606E-06","0,000251145547154156",0,0,0,0,0,0,package://dsvgerge/meshes/base_link.STL,"0,909803921568627","0,447058823529412","0,0431372549019608",1,0,0,0,0,0,0,package://dsvgerge/meshes/base_link.STL,,RObotic Arm Base-1;Servo Motor MG996R-1,SisCor base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist_link,"-0,000676323173403932","0,0126083773212082","0,0204053116340272",0,0,0,"0,114312274057208","5,85730201621192E-05","-2,01852917189799E-06","7,34554378804278E-06","7,4949840825555E-05","-3,56787891760963E-06","7,44043801409344E-05",0,0,0,0,0,0,package://dsvgerge/meshes/Waist_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://dsvgerge/meshes/Waist_link.STL,,Waist-1;Servo Motor MG996R-2,SisCor Waist,Ex Waist,Waist_joint,revolute,0,0,"0,06165",0,0,0,base_link,0,0,1,1,3,"-1,57","1,57",,,1,1,,,,
Shoulder_link,"-2,52041920136073E-05","0,0600135143636057","0,019804576428293",0,0,0,"0,0683062909364027","0,0001113354847057","2,14175645290312E-10","-6,57129254857723E-09","9,89041105147483E-06","-1,38107151450493E-08","0,000116571288618766",0,0,0,0,0,0,package://dsvgerge/meshes/Shoulder_link.STL,"0,909803921568627","0,447058823529412","0,0431372549019608",1,0,0,0,0,0,0,package://dsvgerge/meshes/Shoulder_link.STL,,Arm-1,SisCor Shoulder,Ex Shoulder,Shoulder_joint,revolute,"-0,0138993282947757","0,0103143963931036","0,04028","1,56990264699179","-0,614305609815112","0,000515109286944776",Waist_link,"0,0012670059545015",0,"-0,999999197347633",1,3,"-1,31","2,5",,,,,,,,
Elbow_link,"0,0355691423861956","-0,000417820683792508","-0,00500607323785878",0,0,0,"0,104178577887407","1,93592335339553E-05","2,54946103415903E-07","3,93913710148055E-07","7,13397768744526E-05","-1,31077728319941E-08","7,20804633552649E-05",0,0,0,0,0,0,package://dsvgerge/meshes/Elbow_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://dsvgerge/meshes/Elbow_link.STL,,estabilizador elo4-1;elo4-1;Servo Motor MG996R-3;Servo Motor Micro 9g-2,SisCor Elbow,Ex Elbow,Elbow_joint,revolute,0,"0,12",0,"0,000730291763721768",0,"-0,614305797905159",Shoulder_link,"0,00103536403989601",0,"-0,999999464010509",1,3,-4,"0,12",,,,,,,,
Wrist_1_link,"0,00607897954377361","0,00364397902802904","0,0234182353222563",0,0,0,"0,0380971171326554","1,1860347124032E-05","-2,75536216962121E-08","-4,05594221123261E-07","1,36525245956248E-05","4,79313308370815E-07","7,54220734333144E-06",0,0,0,0,0,0,package://dsvgerge/meshes/Wrist_1_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://dsvgerge/meshes/Wrist_1_link.STL,,elo5.3-1;Servo Motor Micro 9g-1,SisCor Wirst1,Ex Wrist 1,Wrist_1_joint,revolute,"0,0943999494025927","-0,005","9,77383653464683E-05",0,"1,5707963267949",0,Elbow_link,"0,001035364039901",0,"-0,999999464010509",1,3,"-1,57","1,57",,,,,,,,
Wrist_2_link,"0,0166070440758065","0,000139180486092322","-0,00152313864772932",0,0,0,"0,0143322219516906","1,20971579960555E-06","-1,20417958057003E-08","-5,41745725198343E-08","1,15223913686393E-06","1,04848328536845E-08","1,96703829342423E-06",0,0,0,0,0,0,package://dsvgerge/meshes/Wrist_2_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://dsvgerge/meshes/Wrist_2_link.STL,,elo  6-2;Servo Motor Micro 9g-4,SisCor Wrist 2,Ex Wrist 2,Wrist_2_joint,revolute,"-0,0013012254232319","0,0034038765092409","0,0208385964872179","-3,14159265358979","-1,56976096256998","3,14159265358979",Wrist_1_link,0,0,-1,1,3,"-1,57","1,57",,,,,,,,
Effector_link,"0,00778015430289843","0,00364256165738719","-0,00361079517313335",0,0,0,"0,00118783436629656","1,21592416437205E-07","2,05279534283296E-08","-2,0386676237453E-08","1,21305131169617E-07","-2,04470678584157E-08","1,21633378578844E-07",0,0,0,0,0,0,package://dsvgerge/meshes/Effector_link.STL,1,"0,0274509803921569","0,0274509803921569",1,0,0,0,0,0,0,package://dsvgerge/meshes/Effector_link.STL,,Effector_link-3,SisCor Effector,Ex Effector,Effector_joint,revolute,"0,040844","-0,0051105","-0,0013078",0,"0,0010354",0,Wrist_2_link,1,0,"0,0010354",1,3,"-1,57","1,57",,,,,,,,
